# input1, input2, input3, input4, expected output (aka the sum)
96.0,78.0,94.0,38.0,306.0
16.0,31.0,83.0,71.0,201.0
23.0,15.0,83.0,61.0,182.0
73.0,63.0,67.0,32.0,235.0
38.0,9.0,18.0,57.0,122.0
21.0,57.0,26.0,61.0,165.0
93.0,66.0,79.0,97.0,335.0
6.0,41.0,98.0,3.0,148.0
69.0,75.0,97.0,7.0,248.0
76.0,6.0,62.0,15.0,159.0
12.0,69.0,20.0,49.0,150.0
94.0,62.0,67.0,94.0,317.0
63.0,56.0,96.0,46.0,261.0
39.0,96.0,31.0,99.0,265.0
53.0,99.0,68.0,27.0,247.0
87.0,69.0,34.0,83.0,273.0
7.0,65.0,22.0,26.0,120.0
6.0,26.0,66.0,74.0,172.0
76.0,68.0,42.0,0.0,186.0
18.0,36.0,72.0,90.0,216.0
23.0,65.0,91.0,27.0,206.0
80.0,54.0,65.0,37.0,236.0
55.0,99.0,23.0,45.0,222.0
29.0,21.0,66.0,54.0,170.0
54.0,57.0,16.0,56.0,183.0
33.0,22.0,95.0,21.0,171.0
64.0,96.0,83.0,53.0,296.0
16.0,25.0,67.0,99.0,207.0
80.0,7.0,89.0,81.0,257.0
11.0,88.0,36.0,16.0,151.0
40.0,49.0,5.0,40.0,134.0
77.0,85.0,3.0,62.0,227.0
20.0,89.0,27.0,35.0,171.0
1.0,77.0,35.0,70.0,183.0
53.0,9.0,93.0,38.0,193.0
36.0,30.0,25.0,87.0,178.0
4.0,6.0,44.0,22.0,76.0
28.0,83.0,22.0,52.0,185.0
69.0,5.0,28.0,69.0,171.0
29.0,93.0,0.0,51.0,173.0
72.0,36.0,76.0,29.0,213.0
71.0,22.0,95.0,82.0,270.0
11.0,95.0,91.0,84.0,281.0
37.0,26.0,59.0,0.0,122.0
83.0,59.0,21.0,39.0,202.0
81.0,52.0,0.0,14.0,147.0
78.0,72.0,22.0,4.0,176.0
60.0,91.0,5.0,62.0,218.0
0.0,27.0,49.0,22.0,98.0
41.0,47.0,68.0,99.0,255.0
43.0,75.0,70.0,80.0,268.0
47.0,57.0,81.0,4.0,189.0
54.0,82.0,92.0,49.0,277.0
3.0,44.0,20.0,85.0,152.0
40.0,46.0,42.0,78.0,206.0
17.0,59.0,98.0,88.0,262.0
57.0,64.0,18.0,18.0,157.0
13.0,62.0,3.0,24.0,102.0
12.0,3.0,84.0,82.0,181.0
11.0,67.0,42.0,56.0,176.0
49.0,71.0,37.0,62.0,219.0
41.0,51.0,96.0,23.0,211.0
65.0,83.0,57.0,23.0,228.0
6.0,45.0,39.0,4.0,94.0
80.0,71.0,62.0,6.0,219.0
66.0,29.0,58.0,53.0,206.0
15.0,68.0,11.0,2.0,96.0
60.0,13.0,51.0,69.0,193.0
82.0,92.0,66.0,79.0,319.0
45.0,98.0,68.0,88.0,299.0
82.0,73.0,56.0,68.0,279.0
42.0,78.0,86.0,43.0,249.0
25.0,82.0,81.0,97.0,285.0
13.0,11.0,67.0,60.0,151.0
41.0,12.0,67.0,41.0,161.0
78.0,95.0,33.0,11.0,217.0
28.0,39.0,47.0,59.0,173.0
63.0,49.0,19.0,62.0,193.0
39.0,76.0,2.0,88.0,205.0
72.0,98.0,58.0,14.0,242.0
32.0,85.0,28.0,33.0,178.0
17.0,36.0,31.0,25.0,109.0
52.0,14.0,91.0,81.0,238.0
64.0,52.0,80.0,52.0,248.0
41.0,39.0,86.0,83.0,249.0
44.0,93.0,54.0,60.0,251.0
2.0,14.0,43.0,11.0,70.0
50.0,81.0,53.0,15.0,199.0
92.0,13.0,21.0,13.0,139.0
10.0,98.0,1.0,15.0,124.0
15.0,93.0,83.0,45.0,236.0
39.0,46.0,90.0,60.0,235.0
92.0,73.0,9.0,80.0,254.0
56.0,45.0,61.0,24.0,186.0
68.0,2.0,56.0,98.0,224.0
29.0,30.0,3.0,52.0,114.0
39.0,10.0,30.0,99.0,178.0
33.0,80.0,97.0,0.0,210.0
82.0,41.0,41.0,58.0,222.0
3.0,39.0,74.0,12.0,128.0

